currency,net_type,address,secondary_address,response_msg
STRK,STRK,0x031fc2aacfd7ea9dca09bc578eb459ab80a8d7a863d209304fd628535343c125,,Success
STRK,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
STX,STX,SP3QE0N5BQ5CBJ26FC2BNMEXM1XW671BZHSY43PQG,1008712663,Success
SUI,SUI,0xfa36ba32a1faa8e353fac104a0b8bed5cfe7f2ffb8d453f6a7e53eb0d9d9db35,,Success
SUN,Unknown,,,No valid network found
SUNDOG,Unknown,,,No valid network found
SUPER,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SUSHI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SWAP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SWELL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SXP,SXP,SPwEERwjwnnYERb47otfQwqrJefitmBxQg,,Success
SXT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
SYRUP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
T,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TAIKO,Unknown,,,No valid network found
TALK,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TAO,TAO,5CJ9moHHzosJcyKudjWHCsGCeHrjmRJPPc6AcTwKr9v8eXTa,,Success
TAVA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TDROP,Unknown,,,No valid network found
TEMCO,Unknown,,,No valid network found
TFUEL,Unknown,,,No valid network found
THE,Unknown,,,No valid network found
THETA,THETA,0x21ea3dd0e226119ff24b79cb4ae3a85de78c11f4,,Success
THQ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TIA,TIA,celestia1vcfyddfzavw68elg8jyq46y7kuaqee0sl8k3wj,1008712663,Success
TOKAMAK,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TON,TON,EQDny_JvDisllMdoeGfLiEomzgnLXkJWNr-iJrM5bJgfl8ED,1008712663,Success
TOSHI,Unknown,,,No valid network found
TOWNS,Unknown,,,No valid network found
TRAC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TREE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TRUMP,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
TRUST,Unknown,,,No valid network found
TRX,TRX,TUFj3rEksz7JcAYnxVVaDg7S5y4FaVC3ED,,Success
TT,TT,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
TURBO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
UMA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
UNI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
UOS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
USD1,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
USDC,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
USDE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
USDS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
USDT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
VANA,VANA,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
VET,VET,0x2d633b90677e21f4c0fc1e378947713472c730f7,,Success
VIRTUAL,Unknown,,,No valid network found
VTHO,Unknown,,,No valid network found
W,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
WAL,Unknown,,,No valid network found
WAVES,WAVES,3P2aa79AbFjMCDzxz5dsimRxr8ejE1iLbf2,,Success
WAXL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
WAXP,WAXP,bithumbwaxr1,1008712663,Success
WCT,Unknown,,,No valid network found
WET,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
WIF,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
WIKEN,Unknown,,,No valid network found
WITCH,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
WLD,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
WLFI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
WNCG,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
WOO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
XAI,Unknown,,,No valid network found
XAN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
XAUT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
XCN,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
