currency,chain,address,tag,selected
GALA,GALA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GALFT,GALFT-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GAS,GAS-N3,NV8meQLYPBAKufBXZu7ZZbENoHW7wq3euV,,True
GHST,GHST-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GLM,GLM-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GMT,GMT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
GMT,GMT-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GMX,GMX-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GOAT,GOAT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
GODS,GODS-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GRT,GRT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
HBAR,HBAR-Hedera,0.0.8172693,,True
HMSTR,HMSTR-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
HUMA,HUMA-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
HYPE,HYPE-HyperEVM,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ICP,ICP-Dfinity,03b376471ce9e7588c55f22c0a60e317d84ae6c23a49dd4090b3893bfd49891f,,True
ICX,ICX-ICON,hxc093b00934adec09bf8b115cd7e4301c3fa63ac7,,True
ID,ID-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ILV,ILV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
IMX,IMX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
INJ,INJ-INJ,inj1xwyf6tr3mxh2t7gjr4vlqkpk9htcxq3qfn2spn,,True
IOST,IOST-IOST,iost_ok115,6034275,True
IOTA,IOTA-IOTA Stardust,0xb10fed97d289744c5c48e6e3e921301dfd37c03cb5b66bc45ba2d6a4bd51171c,,True
IP,IP-Story,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
J,J-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JITOSOL,JITOSOL-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JOE,JOE-Avalanche C-Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
JTO,JTO-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JUP,JUP-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
KAIA,KAIA-Klaytn,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KAITO,KAITO-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KITE,KITE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KMNO,KMNO-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
KNC,KNC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LAT,LAT-PlatON,lat199yf47appq4u64qrc87l79fvmzmfay5g647e4p,,True
LAYER,LAYER-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
LBR,LBR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LDO,LDO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LEO,LEO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINEA,LINEA-Linea,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINK,LINK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINK,LINKK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LIT,LIT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LPT,LPT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LQTY,LQTY-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LRC,LRC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LSK,LSK-Lisk,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LTC,LTC-Litecoin,M9zSRnyPRaw24tBNESGmRChSfFsjC2FARE,,True
LTC,LTCK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
