currency,net_type,deposit_address,secondary_address
TIA,TIA,celestia1e7lrp8gwaqvnnwlxtsta7xxjk27cfpk4na72y3,d5df4eb097a774cc
TOKAMAK,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TOSHI,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TREE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TRUMP,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
TRUST,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TRX,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
TT,TT,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
TUSD,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
UNI,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USD1,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDC,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
USDE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDP,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDS,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDT,APT,0xa2c9be79ee95e4d34a5827de781f370f2e6c2f6fb529f511d207a7795ba80846,
USDT,KAIA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
USDT,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
USDT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
VAL,VAL,XkazRhCFzffCTfe3xT8cKhvphWtnbZKviq,
VANA,VANA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
VET,VET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
VIRTUAL,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
VTHO,VET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
W,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
WAL,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
WAVES,WAVES,3PEjrxUkgqR84r2C1gihNYZggHYHt13ozVe,
WAXP,WAXP,upbitswaxusr,9ad6db71-e2e5-4707-af46-662e17f6997d
WCT,OPTIMISM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
WET,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
WLD,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
WLD,WLDCHAIN,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
WLD,OPTIMISM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
WLFI,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
XAUT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
XEC,XEC,ecash:qq2ah57cenpjmuf5nrptf8fwxym5na4fkq50j95m7w,
XLM,XLM,GCZ2SI6JHROAS6XSWW6GROQRVBDE4XBMQ2L77AQBBCZZYM6GYZTCAOLB,sade1764605041699
XPL,XPL,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
XRP,XRP,rYmTPYVPLv4EbhTN4Uw8nfvjyShLGESMV,1362209469
XTZ,XTZ,tz1Y3RNQrNgJuQsycUVXsVpjcprCzXybGiuW,
YB,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
YGG,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZBT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZETA,ZETA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZIL,ZIL,zil1rlj6g8uc8wl5r79k55a0qlkf3s62wel2wsk7r8,
ZK,ZKSYNC,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZKC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZKP,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZORA,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZRO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ZRX,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
